storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
EP172014  POLO  44  950400  10591013981.1741  65  2014
EP172015  MARTY  18  388800  6930789545.6963  70  2015
EP172016  PAINE  15  324000  7192522979.26666  80  2016
EP181982  SERGIO  40  864000  58956191118  110  1982
EP181983  SONIA  21  453600  2155257192.44815  40  1983
EP181987  SELMA  18  388800  1519671368.51111  35  1987
EP181990  UNNAMED  13  280800  731162639.566667  30  1990
EP181992  INIKI  33  712800  46813524295.3926  125  1992
EP181994  PAUL  23  496800  2142758685.78889  40  1994
EP181997  PAULINE  20  432000  32460092206.6444  115  1997
EP182006  EIGHTEEN  11  237600  493691013.040741  30  2006
EP182009  OLAF  13  280800  1398362333.28889  40  2009
EP182013  SONIA  13  280800  1418580505.82593  40  2013
EP182014  RACHEL  37  799200  12335290866.4148  75  2014
EP182015  NORA  27  583200  6147794863.80741  60  2015
EP182016  ROSLYN  22  475200  2580574022  45  2016
EP191982  TARA  27  583200  3750287204.05185  45  1982
EP191983  TICO  34  734400  55460285284.7778  115  1983
EP191990  ODILE  35  756000  56011689990.3333  125  1990
EP191992  PAINE  23  496800  9381599660.32222  65  1992
EP191994  ROSA  27  583200  14460772204.763  90  1994
EP191997  RICK  16  345600  7526674230.83333  85  1997
EP192006  ROSA  11  237600  913126192.4  35  2006
EP192009  PATRICIA  16  345600  2688281741.15185  50  2009
EP192014  SIMON  35  756000  23013794394.2037  115  2014
EP192015  OLAF  55  1188000  106885390934.3  130  2015
EP192016  ULIKA  31  669600  6081258696.0037  65  2016
EP201983  VELMA  7  151200  573093290.640741  35  1983
EP201990  POLO  13  280800  3572367285.72593  65  1990
EP201992  ROSLYN  70  1512000  28646944866.1593  85  1992
EP202006  TWENTY  3  64800  238206832.8  30  2006
EP202009  RICK  25  540000  76088335319.6111  155  2009
EP202014  TRUDY  8  172800  1200591845.56296  50  2014
EP202015  PATRICIA  18  388800  76680176370.2407  185  2015
